公司 company
学位 degree
职位 job
学校 school
/*
说明
每行为图中的一条边，格式如下
实体1||实体2||关系

实体中格式为
类型::值
人::26||职位::分析师 ; ||担任
人::27||公司::巴别鱼国际教育||任职
人::27||公司::紫琪尔国际健康管理机构||任职
人::27||公司::中德月东北京科技有限公司||任职
人::27||学位::北京师范大学||就读
人::27||学位::北京人文大学||就读
人::27||学位::本科||拥有
人::27||学位::本科||拥有
人::27||职位::文案策划 ; ||担任
人::27||职位::文案编辑 ; ||担任
人::27||职位::美术编辑 ; ||担任
人::28||公司::中人网管理咨询有限公司||任职
人::28||公司::励步少儿英语||任职
人::28||学位::首都师范大学||就读
人::28||学位::首都师范大学||就读
人::28||学位::本科||拥有
人::28||学位::大专||拥有
人::28||职位::大客户销售 ; ||担任
人::28||职位::销售代表 ; ||担任
人::29||公司::葛洲坝机电建设公司||任职
人::29||学位::湖北省三峡电力职业技术学院||就读
人::29||学位::大专||拥有
人::29||职位::技术员 ; ||担任
人::30||公司::北京信酷网络科技有限公司||任职
人::30||公司::武汉大风车儿童摄影||任职
人::30||学位::郑州师范学院||就读
人::30||学位::大专||拥有
人::30||职位::网站架构设计师 ; ||担任
人::30||职位::平面设计师 ; ||担任
人::31||公司::大唐移动设备有限公司||任职
人::31||学位::中国矿业大学北京||就读
人::31||学位::中国矿业大学(北京)||就读
人::31||学位::硕士||拥有
人::31||学位::本科||拥有
人::31||职位::软件工程师 ; ||担任
人::32||公司::北京东华合创数码科技有限公司||任职
人::32||公司::北京神州数码控股有限公司||任职
人::32||公司::北京莱桥通信技术有限公司||任职
人::32||学位::北京电子科技职业学院||就读
人::32||学位::大专||拥有
人::32||职位::网络工程师 ; ||担任
人::32||职位::运维工程师 ; ||担任
人::32||职位::通信技术工程师 ; ||担任
人::33||公司::欧迪办公网络技术有限公司北京分公司||任职
人::33||学位::英国威尔士大学||就读
人::33||学位::mba||拥有
人::33||职位::区域销售经理 ; ||担任
人::34||公司::北京鲁成伟业科技发展有限公司||任职
人::34||公司::山东荣庆集团上海荣庆储运有限公司||任职
人::34||学位::济宁职业技术学院||就读
人::34||学位::大专||拥有
人::34||职位::商务经理主管 ; ||担任
人::34||职位::客户服务专员 ; ||担任
人::35||公司::德信无线通讯科技有限公司||任职
人::35||公司::中信秦皇岛公司||任职
人::35||学位::北京电影学院||就读
人::35||学位::燕山大学||就读
